,original_user_link,original_context,original_time
75,https://weibo.com/u/7444103693,"和网友朋友打了74分钟的电话，分析了一个塔罗，看了最后一分钟的广告祝福，心情was like: what the fuck
这里说简单的结论：YSLD发生贺是个很不好的信号，不如说是最差的信号。他是要翻身了没错。做好准备，不管发生啥都长期抵抗，绝不温顺地走进良夜",10月6日 00:43
76,https://weibo.com/u/6001264914,#川美# #请肖战粉丝远离川美# 朋友圈看到的视频 有点无语 肖战粉丝不是川美吧 Lbbnobb_的微博视频,10月5日 22:23
77,https://weibo.com/LikeTCC,#2020亚太区最帅100张面孔#@X玖少年团肖战DAYTOY ，恭喜入围，现在进入投票阶段！,8月12日 11:03
78,https://weibo.com/u/5601456932,黄景瑜为肖战庆生！有网友拍到黄景瑜收工后直接去酒店为肖战庆生，感情真好啊 LRabbit每日爆料的微博视频,10月5日 22:53
79,https://weibo.com/u/1705911273,"肖战超话#肖战我喜欢你# #日常见肖战#

从来没有想过我会喜欢肖战这么久，
可能因为他实在太优秀了。
始于颜值，陷于才华，忠于人品，
这真的是我喜欢战战的真实写照。
战战很温柔，待人待物。

就这样，一直喜欢他，陪他走下去，
陪着他成长，陪他一起头也不回地向着光。

文：浅玥
肖战@X玖少年团肖战DAYTOY
肖战我喜欢你 xz 日常见肖战
· L聆阙歌揽妃入怀·落雁惊鸿的微博视频",9月10日 19:50
80,https://weibo.com/u/6612361277,"#肖战吹蜡烛#xz#肖战#

吹蜡烛的样子可爱极了 真的像个小孩子

@X玖少年团肖战DAYTOY L兔毛栽培队的微博视频",10月6日 00:58
81,https://weibo.com/oppo,"朋友们新年快乐！#我的新年第一支视频#出炉啦！当当当~@X玖少年团肖战DAYTOY 完整版防抖大片上线！新年就要看新鲜小赞，这次让大家一次看个够！你们喜欢吗？ #5G视频手机Reno3#
LOPPO的秒拍视频",1月1日 10:00
82,https://weibo.com/u/6560266387,希望我喜欢的书的作者都不是虾（）,10月6日 00:51
83,https://weibo.com/u/5210862708,策划54天，实际历时44天，制作30天，肖战粉丝自制的新电影《愿君安》已上线！希望你如片名所祝愿的一样，平安喜乐，顺顺利利#愿君安#@X玖少年团肖战DAYTOY L虾圈配音社的微博视频,10月5日 15:16
84,https://weibo.com/u/5679760242,"#川美#
四川美院的涂鸦一条街，仿佛走进了光怪陆离的奇幻世界！ L偷凉_的微博视频",10月5日 23:47
85,https://weibo.com/u/1318994717,"#川美#
嘻嘻，好家伙！这是啥？
可着一个人儿造呗！
谁让他家最好欺负呢",10月5日 23:58
86,https://weibo.com/u/3306017473,"#肖战为你开小灶#
快看开小灶这个无人机生日祝福！
真的太棒太好看啦！

@开小灶官方微博
@X玖少年团肖战DAYTOY Lcaihongtangswwrgv的微博视频",10月5日 19:09
87,https://weibo.com/u/1649603817,#川美#肖战粉丝为了给肖战过大寿竟跑到肖战考不上的美院乱涂乱画还不忘拉上其他明星啧#抵制肖战代言#,10月6日 00:55
88,https://weibo.com/u/7337377770,怎么？肖战粉丝又要按头甩锅给别人了？？,10月6日 00:54
89,https://weibo.com/u/6128207523,"#肖战吹蜡烛#
傍晚的海边清风徐徐，有一个短发男孩正在给自己庆生他吹着蜡烛许着愿……祝这个29岁的大男孩平安且喜乐 L青春影视君的微博视频",10月5日 23:41
