,user_link,context,time,like_num
84,https://weibo.com/6702009235?refer_flag=1001030103_,"#肖战# xz #肖战吹蜡烛#
『尚好的青春都是你，没有片刻不想你』
眼里有星河，清澈的歌声也仿佛有着治愈能力，让人感受到那些最纯净的温柔美好！
肖战 xz @X玖少年团肖战DAYTOY
cr.L王阿賢的微博视频",10月06日 00:59,3
85,https://weibo.com/5936053067?refer_flag=1001030103_,"我为@X玖少年团肖战DAYTOY 贡献星光，疯狂艾特@腾讯视频,快送我去#星光大赏# 现场为爱豆打call！ O星光大赏星光能量榜",10月06日 00:59,
86,https://weibo.com/2626624715?refer_flag=1001030103_,晚安，今天开始加班@X玖少年团肖战DAYTOY 29岁的第一天，要快乐啊！！,10月06日 00:59,
87,https://weibo.com/3899848878?refer_flag=1001030103_,"#肖战吹蜡烛#
五天时间五千万
我算算～
如果都屯着不投
到月底
三个亿
我记得我们有过两个亿的
也不算啥嘛
但是这个有啥意义呢",10月06日 00:59,
88,https://weibo.com/5754937072?refer_flag=1001030103_,爱笑的男孩 你开心我就开心 愿你快乐 不止生日@X玖少年团肖战DAYTOY Lkimthaivy的微博视频,10月06日 00:59,
89,https://weibo.com/6808251977?refer_flag=1001030103_,"我为@X玖少年团肖战DAYTOY 贡献星光，疯狂艾特@腾讯视频,快送我去#星光大赏# 现场为爱豆打call！ O星光大赏星光能量榜",10月06日 00:59,
90,https://weibo.com/5135811168?refer_flag=1001030103_,#川美# 今天好热闹，肖战生日快乐。#看了感觉真可怜#,10月06日 00:59,9
91,https://weibo.com/2215609954?refer_flag=1001030103_,好哇，这个年头了，还有肖战粉fo我，赶紧给老子死谢谢,10月06日 00:59,39
92,https://weibo.com/7481807670?refer_flag=1001030103_,"肖战：土生土长、经过了16年中国体制下的文化、品德、智力、体育、文艺、生活等全程教育，具有中国精神元素的青年演员，凭借《陈情令》走进了国人和海外人们的视线。

人群的认同感，肖战收获许多国内粉，更收获大量的海外粉，弘扬了中华文化，也促进了不同国家文化的交流。以此加深了海外消费群体对中 展开全文c",10月06日 00:59,
93,https://weibo.com/7388888509?refer_flag=1001030103_,我刚使用会员特权送给了@X玖少年团肖战DAYTOY 2朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！X玖少年团肖战DAYTOY已收到4105196朵花,10月06日 00:59,
94,https://weibo.com/3175794033?refer_flag=1001030103_,"出淤泥而不染 濯清涟而不妖
这就是我喜欢的青年演员肖战@X玖少年团肖战DAYTOY #肖战# xz#肖战正能量艺人#",10月06日 00:59,1
95,https://weibo.com/2879626991?refer_flag=1001030103_,我刚刚在#星光大赏# 为 @X玖少年团肖战DAYTOY 贡献星光，一起@腾讯视频 送我去现场为爱豆打call！ O星光大赏星光能量榜,10月06日 00:59,
96,https://weibo.com/7500566451?refer_flag=1001030103_,赞宝啊 生日快乐 一定会越来越好 我永远在这儿 等待你 爱你 鼓励你 想跟你一起努力 你知道吗，在第一次看到了你 我马上明白，我的心支可能想你，喜欢你!支希望你永远平安 这是第一次我那么喜欢一个人。所有的事情，都是第一次!一定加油呀!我相信你一定成功@X玖少年团肖战DAYTOY #肖战1005生日快乐#,10月06日 00:59,
97,https://weibo.com/7370610356?refer_flag=1001030103_,"#愿君安#@X玖少年团肖战DAYTOY #肖战1005生日快乐#
一许肖战平安顺遂 二许肖战星途璀璨",10月06日 00:59,
98,https://weibo.com/7245927270?refer_flag=1001030103_,"#肖战# #愿君安#
告诉照亮浮沉人间的他
是目光中央",10月06日 00:59,
99,https://weibo.com/7282507582?refer_flag=1001030103_,"肖战#肖战1005生日快乐#电视剧余生请多指教
啊啊啊啊啊啊啊啊啊小室发的禁桃太帅了
我们很纯粹",10月06日 00:59,1
100,https://weibo.com/2485749133?refer_flag=1001030103_,肖战生日品牌方送“大礼”，继韩国后，新加坡粉丝黄金地段应援长脸！@腾讯视频 L肖战生日品牌方送“大礼”，继韩国后，新加坡粉丝黄金地段应援长脸！,10月06日 00:59,
